[1783778183.638199] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"id": null, "method": "mining.notify", "params": ["2327584", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e013302d27fe82cfabe6d6de08c6b484f4dfb6cd3aeb487486a46a54a77658f40a15e4bf375eac47148139e1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b87", false]}
[1783778183.63847] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40046 | {"id": null, "method": "mining.notify", "params": ["2242066", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936368e004301d27fe6e1fabe6d6de08c6b484f4dfb6cd3aeb487486a46a54a77658f40a15e4bf375eac47148139e1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b87", false]}
[1783778183.653471] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"id": null, "method": "mining.notify", "params": ["2357641", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e002003d27fe67bfabe6d6de08c6b484f4dfb6cd3aeb487486a46a54a77658f40a15e4bf375eac47148139e1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b87", false]}
[1783778186.179685] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"id": null, "method": "mining.notify", "params": ["2327585", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e013302d283cab1fabe6d6df11fbebb19149bd7b71656cc90ec9bbecc1a21b4c2797f1565de8679df1901de1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b8a", false]}
[1783778186.180228] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40046 | {"id": null, "method": "mining.notify", "params": ["2242067", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936368e004301d283c8d2fabe6d6df11fbebb19149bd7b71656cc90ec9bbecc1a21b4c2797f1565de8679df1901de1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b8a", false]}
[1783778186.192342] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"id": null, "method": "mining.notify", "params": ["2357642", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e002003d283c84ffabe6d6df11fbebb19149bd7b71656cc90ec9bbecc1a21b4c2797f1565de8679df1901de1000000000000000", "ffffffff03c105c3120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed7795ec813cad78952b6bf8dc492ba16344c05cd0c43fecbe70ceeffd935e97bd00000000000000002b6a2952534b424c4f434b3ae02bf2e4eaa18ef006add1a7e4c2c579b636004ba3cbdca8c53f890d0089f39c00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "74b63ead84a87a90e7981ce29009f6829088a9b60dff8b71f95a2bfe6a26461c", "d6c21509530f4bf525c6a7febecc6748febddbab8e4c3e8b377e36df4c642dd7", "4deb0a3f57314089d222e9708ed6f02a6ca6677d2a9f2ee93745fc334c8a63bc", "9a231ac851d187ef1095a157566521edf0eb29c7371fd8a36d09df5c5cea77e3", "c67e1031f4ebfc6a7cc30835ea4d46a57c312e24736b68d083dbc953aa694f96", "df6c5176055f4aed78233b15a65c8d637ca01a209b6b5354ebac4efbf0a83415", "4a6e231445c8c4327481d8cac823bbc4d95d681eef510bccc6c9767bd8b7056b"], "20000000", "17021a42", "6a524b8a", false]}
[1783778186.502817] MINER<->FX | 123.88.25.139:2639 -> 172.31.12.58:10510 | {"params": ["btc88708200.S21-bb1", "2327585", "a131000000000000", "6a524b8a", "1537eb83", "00028000"], "id": 121463, "method": "mining.submit"}
[1783778186.502961] FX<->MAIN_POOL | 172.31.11.58:31986 -> 172.65.246.174:700 | {"id": 121463, "method": "mining.submit", "params": ["btc88708200.S21-bb1", "2327585", "a131000000000000", "6a524b8a", "1537eb83", "00028000"]}
[1783778186.505207] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"error": null, "id": 121463, "result": true}
[1783778186.505332] MINER<->FX | 172.31.12.58:10510 -> 123.88.25.139:2639 | {"error": null, "id": 121463, "result": true}
