[1783874308.052289] FIN/RST (FA) | 172.31.11.58:58452 -> 172.65.216.67:5500
[1783874331.052978] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:35466
[1783874333.054896] SYN | 172.31.11.58:29474 -> 172.65.216.67:5500
[1783874333.055676] SYN | 172.65.216.67:5500 -> 172.31.11.58:29474
[1783874333.055871] FIN/RST (FA) | 172.31.11.58:35466 -> 172.65.216.67:5500
[1783874337.722684] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:29474
[1783874339.725479] SYN | 172.31.11.58:33782 -> 172.65.216.67:5500
[1783874339.726302] SYN | 172.65.216.67:5500 -> 172.31.11.58:33782
[1783874339.726398] FIN/RST (FA) | 172.31.11.58:29474 -> 172.65.216.67:5500
[1783874346.448541] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:33782
[1783874348.453662] SYN | 172.31.11.58:64026 -> 172.65.216.67:5500
[1783874348.454532] SYN | 172.65.216.67:5500 -> 172.31.11.58:64026
[1783874348.454649] FIN/RST (FA) | 172.31.11.58:33782 -> 172.65.216.67:5500
[1783874357.007993] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:64026
[1783874359.008906] SYN | 172.31.11.58:33706 -> 172.65.216.67:5500
[1783874359.009729] SYN | 172.65.216.67:5500 -> 172.31.11.58:33706
[1783874359.009823] FIN/RST (FA) | 172.31.11.58:64026 -> 172.65.216.67:5500
[1783874381.038756] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:33706
[1783874383.040656] SYN | 172.31.11.58:51752 -> 172.65.216.67:5500
[1783874383.041462] SYN | 172.65.216.67:5500 -> 172.31.11.58:51752
[1783874383.041562] FIN/RST (FA) | 172.31.11.58:33706 -> 172.65.216.67:5500
[1783874406.039220] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:51752
[1783874408.040450] SYN | 172.31.11.58:48460 -> 172.65.216.67:5500
[1783874408.041313] SYN | 172.65.216.67:5500 -> 172.31.11.58:48460
[1783874408.041431] FIN/RST (FA) | 172.31.11.58:51752 -> 172.65.216.67:5500
[1783874431.053798] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:48460
[1783874433.055063] SYN | 172.31.11.58:25872 -> 172.65.216.67:5500
[1783874433.055855] SYN | 172.65.216.67:5500 -> 172.31.11.58:25872
